,time,revenus,r/c,accept_ratio
186,186,7785,0.879,1.0
187,187,7785,0.879,1.0
188,188,7785,0.879,1.0
189,189,7785,0.879,1.0
190,190,7785,0.879,1.0
191,191,7785,0.879,1.0
192,192,7785,0.879,1.0
193,193,7785,0.879,1.0
194,194,7785,0.879,1.0
195,195,7785,0.879,1.0
196,196,7785,0.879,1.0
197,197,7785,0.879,1.0
198,198,7785,0.879,1.0
199,199,7785,0.879,1.0
200,200,7785,0.879,1.0
201,201,7785,0.879,1.0
202,202,7785,0.879,1.0
203,203,7785,0.879,1.0
204,204,7785,0.879,1.0
205,205,9619,0.879,1.0
206,206,9619,0.879,1.0
207,207,9619,0.879,1.0
208,208,9619,0.879,1.0
209,209,9619,0.879,1.0
210,210,9619,0.879,1.0
211,211,9619,0.879,1.0
212,212,9619,0.879,1.0
213,213,9619,0.879,1.0
214,214,9619,0.879,1.0
215,215,9619,0.879,1.0
216,216,9619,0.879,1.0
217,217,9619,0.879,1.0
218,218,9619,0.879,1.0
219,219,11562,0.885,1.0
220,220,11562,0.885,1.0
221,221,11562,0.885,1.0
222,222,11562,0.885,1.0
223,223,11562,0.885,1.0
224,224,11562,0.885,1.0
225,225,11562,0.885,1.0
226,226,11562,0.885,1.0
227,227,11562,0.885,1.0
228,228,11562,0.885,1.0
229,229,11562,0.885,1.0
230,230,11562,0.885,1.0
231,231,11562,0.885,1.0
232,232,11562,0.885,1.0
233,233,11562,0.885,1.0
234,234,11562,0.885,1.0
235,235,11562,0.885,1.0
236,236,11562,0.885,1.0
237,237,11562,0.885,1.0
238,238,11590,0.885,1.0
239,239,11590,0.885,1.0
240,240,11590,0.885,1.0
241,241,11590,0.885,1.0
242,242,11590,0.885,1.0
243,243,11590,0.885,1.0
244,244,11590,0.885,1.0
245,245,11590,0.885,1.0
246,246,11590,0.885,1.0
247,247,11590,0.885,1.0
248,248,11590,0.885,1.0
249,249,11590,0.885,1.0
250,250,11590,0.885,1.0
251,251,11590,0.885,1.0
252,252,11590,0.885,1.0
253,253,11590,0.885,1.0
254,254,11590,0.885,1.0
255,255,11590,0.885,1.0
256,256,11590,0.885,1.0
257,257,11590,0.885,1.0
258,258,11590,0.885,1.0
259,259,11590,0.885,1.0
260,260,11590,0.885,1.0
261,261,11590,0.885,1.0
262,262,11590,0.885,1.0
263,263,12604,0.861,1.0
264,264,12604,0.861,1.0
265,265,12604,0.861,1.0
266,266,12604,0.861,1.0
267,267,12604,0.861,1.0
268,268,12604,0.861,1.0
269,269,12604,0.861,1.0
270,270,12604,0.861,1.0
271,271,12604,0.861,1.0
272,272,12604,0.861,1.0
273,273,12604,0.861,1.0
274,274,12604,0.861,1.0
275,275,12604,0.861,1.0
276,276,12604,0.861,1.0
277,277,12604,0.861,1.0
278,278,12604,0.861,1.0
279,279,12604,0.861,1.0
280,280,12604,0.861,1.0
281,281,12604,0.861,1.0
282,282,12604,0.861,1.0
283,283,12604,0.861,1.0
284,284,12604,0.861,1.0
285,285,12892,0.861,1.0
286,286,12892,0.861,1.0
287,287,12892,0.861,1.0
288,288,12892,0.861,1.0
289,289,12892,0.861,1.0
290,290,12892,0.861,1.0
291,291,12892,0.861,1.0
292,292,12892,0.861,1.0
293,293,12892,0.861,1.0
294,294,12892,0.861,1.0
295,295,12892,0.861,1.0
296,296,12892,0.861,1.0
297,297,12892,0.861,1.0
298,298,12892,0.861,1.0
299,299,12892,0.861,1.0
300,300,12892,0.861,1.0
301,301,12892,0.861,1.0
302,302,12892,0.861,1.0
303,303,12892,0.861,1.0
304,304,12943,0.861,1.0
305,305,12943,0.861,1.0
306,306,12943,0.861,1.0
307,307,12943,0.861,1.0
308,308,12943,0.861,1.0
309,309,12943,0.861,1.0
310,310,12943,0.861,1.0
311,311,12943,0.861,1.0
312,312,12943,0.861,1.0
313,313,12943,0.861,1.0
314,314,12943,0.861,1.0
315,315,12943,0.861,1.0
316,316,12943,0.861,1.0
317,317,12943,0.861,1.0
318,318,12943,0.861,1.0
319,319,12943,0.861,1.0
320,320,12943,0.861,1.0
321,321,12943,0.861,1.0
322,322,12943,0.861,1.0
323,323,12943,0.861,1.0
324,324,12943,0.861,1.0
325,325,12943,0.861,1.0
326,326,12943,0.861,1.0
327,327,12943,0.861,1.0
328,328,12943,0.861,1.0
329,329,12943,0.861,1.0
330,330,12943,0.861,1.0
331,331,13283,0.846,1.0
332,332,13283,0.846,1.0
333,333,13283,0.846,1.0
334,334,13283,0.846,1.0
335,335,13283,0.846,1.0
336,336,13283,0.846,1.0
337,337,13283,0.846,1.0
338,338,13283,0.846,1.0
339,339,13283,0.846,1.0
340,340,13283,0.846,1.0
341,341,13283,0.846,1.0
342,342,13283,0.846,1.0
343,343,13283,0.846,1.0
344,344,13283,0.846,1.0
345,345,13283,0.846,1.0
346,346,13283,0.846,1.0
347,347,13338,0.845,1.0
348,348,13338,0.845,1.0
349,349,13338,0.845,1.0
350,350,13338,0.845,1.0
351,351,13338,0.845,1.0
352,352,13338,0.845,1.0
353,353,13338,0.845,1.0
354,354,13338,0.845,1.0
355,355,13338,0.845,1.0
356,356,13338,0.845,1.0
357,357,13338,0.845,1.0
358,358,13338,0.845,1.0
359,359,13338,0.845,1.0
360,360,13338,0.845,1.0
361,361,13338,0.845,1.0
362,362,13338,0.845,1.0
363,363,13338,0.845,1.0
364,364,13338,0.845,1.0
365,365,13338,0.845,1.0
366,366,13338,0.845,1.0
367,367,13338,0.845,1.0
368,368,13338,0.845,1.0
369,369,13338,0.845,1.0
370,370,13338,0.845,1.0
371,371,13926,0.833,1.0
372,372,13926,0.833,1.0
373,373,13926,0.833,1.0
374,374,13926,0.833,1.0
375,375,13926,0.833,1.0
376,376,13926,0.833,1.0
377,377,13926,0.833,1.0
378,378,13926,0.833,1.0
379,379,13926,0.833,1.0
380,380,13926,0.833,1.0
381,381,13926,0.833,1.0
382,382,13926,0.833,1.0
383,383,13926,0.833,1.0
384,384,13926,0.833,1.0
385,385,13926,0.833,1.0
386,386,13926,0.833,1.0
387,387,13926,0.833,1.0
388,388,13926,0.833,1.0
389,389,13926,0.833,1.0
390,390,13926,0.833,1.0
391,391,13926,0.833,1.0
392,392,13926,0.833,1.0
393,393,15261,0.821,1.0
394,394,15261,0.821,1.0
395,395,15261,0.821,1.0
396,396,15261,0.821,1.0
397,397,15261,0.821,1.0
398,398,15261,0.821,1.0
399,399,15261,0.821,1.0
400,400,15261,0.821,1.0
401,401,15261,0.821,1.0
402,402,15261,0.821,1.0
403,403,15261,0.821,1.0
404,404,15261,0.821,1.0
405,405,15261,0.821,1.0
406,406,15261,0.821,1.0
407,407,15261,0.821,1.0
408,408,15261,0.821,1.0
409,409,15261,0.821,1.0
410,410,15261,0.821,1.0
411,411,15261,0.821,1.0
412,412,15261,0.821,1.0
413,413,15261,0.821,1.0
414,414,15261,0.821,1.0
415,415,15261,0.821,1.0
416,416,15261,0.821,1.0
417,417,15261,0.821,1.0
418,418,15261,0.821,1.0
419,419,16899,0.824,1.0
420,420,16899,0.824,1.0
421,421,16899,0.824,1.0
422,422,16899,0.824,1.0
423,423,16899,0.824,1.0
424,424,16899,0.824,1.0
425,425,16899,0.824,1.0
426,426,16899,0.824,1.0
427,427,16899,0.824,1.0
428,428,16899,0.824,1.0
429,429,16899,0.824,1.0
430,430,16899,0.824,1.0
431,431,16899,0.824,1.0
432,432,16899,0.824,1.0
433,433,16899,0.824,1.0
434,434,16899,0.824,1.0
435,435,16899,0.824,1.0
436,436,16899,0.824,1.0
437,437,16899,0.824,1.0
438,438,16899,0.824,1.0
439,439,16899,0.824,1.0
440,440,16899,0.824,1.0
441,441,18445,0.813,1.0
442,442,18445,0.813,1.0
443,443,18445,0.813,1.0
444,444,18445,0.813,1.0
445,445,18445,0.813,1.0
446,446,18445,0.813,1.0
447,447,18445,0.813,1.0
448,448,18445,0.813,1.0
449,449,18445,0.813,1.0
450,450,18445,0.813,1.0
451,451,18445,0.813,1.0
452,452,18445,0.813,1.0
453,453,18445,0.813,1.0
454,454,18445,0.813,1.0
455,455,18445,0.813,1.0
456,456,18445,0.813,1.0
457,457,18445,0.813,1.0
458,458,18445,0.813,1.0
459,459,18445,0.813,1.0
460,460,18445,0.813,1.0
461,461,18445,0.813,1.0
462,462,18445,0.813,1.0
463,463,18445,0.813,1.0
464,464,18445,0.813,1.0
465,465,18445,0.813,1.0
466,466,19300,0.818,1.0
467,467,19300,0.818,1.0
468,468,19300,0.818,1.0
469,469,19300,0.818,1.0
470,470,19300,0.818,1.0
471,471,19300,0.818,1.0
472,472,19300,0.818,1.0
473,473,19300,0.818,1.0
474,474,19300,0.818,1.0
475,475,19300,0.818,1.0
476,476,19300,0.818,1.0
477,477,19300,0.818,1.0
478,478,19300,0.818,1.0
479,479,19300,0.818,1.0
480,480,19709,0.815,1.0
481,481,19709,0.815,1.0
482,482,19709,0.815,1.0
483,483,19709,0.815,1.0
484,484,19709,0.815,1.0
485,485,19709,0.815,1.0
486,486,19709,0.815,1.0
487,487,19709,0.815,1.0
488,488,19709,0.815,1.0
489,489,19709,0.815,1.0
490,490,19709,0.815,1.0
491,491,19709,0.815,1.0
492,492,19709,0.815,1.0
493,493,19709,0.815,1.0
494,494,19709,0.815,1.0
495,495,19709,0.815,1.0
496,496,19709,0.815,1.0
497,497,19709,0.815,1.0
498,498,19709,0.815,1.0
499,499,19709,0.815,1.0
500,500,19709,0.815,1.0
501,501,19709,0.815,1.0
502,502,19709,0.815,1.0
503,503,19709,0.815,1.0
504,504,20633,0.810,1.0
505,505,20633,0.810,1.0
506,506,20633,0.810,1.0
507,507,20633,0.810,1.0
508,508,20633,0.810,1.0
509,509,20633,0.810,1.0
510,510,20633,0.810,1.0
511,511,20633,0.810,1.0
512,512,20633,0.810,1.0
513,513,20633,0.810,1.0
514,514,20633,0.810,1.0
515,515,20633,0.810,1.0
516,516,20633,0.810,1.0
517,517,20633,0.810,1.0
518,518,20633,0.810,1.0
519,519,20633,0.810,1.0
520,520,20633,0.810,1.0
521,521,20633,0.810,1.0
522,522,20633,0.810,1.0
523,523,20633,0.810,1.0
524,524,20633,0.810,1.0
525,525,21073,0.812,1.0
526,526,21073,0.812,1.0
527,527,21073,0.812,1.0
528,528,21073,0.812,1.0
529,529,21073,0.812,1.0
530,530,21073,0.812,1.0
531,531,21073,0.812,1.0
532,532,21073,0.812,1.0
533,533,21073,0.812,1.0
534,534,21073,0.812,1.0
535,535,21073,0.812,1.0
536,536,21073,0.812,1.0
537,537,21073,0.812,1.0
538,538,21073,0.812,1.0
539,539,21073,0.812,1.0
540,540,21073,0.812,1.0
541,541,21073,0.812,1.0
542,542,21073,0.812,1.0
543,543,21073,0.812,1.0
544,544,22410,0.806,1.0
545,545,22410,0.806,1.0
546,546,22410,0.806,1.0
