,time,r/c,accept_ratio
0,0,0.810,0.86
1,1,0.814,0.8585365853658536
2,2,0.818,0.8571428571428571
3,3,0.823,0.8604651162790697
4,4,0.822,0.8636363636363636
5,5,0.815,0.8666666666666667
6,6,0.820,0.8695652173913043
7,7,0.821,0.8680851063829788
8,8,0.822,0.8708333333333333
9,9,0.826,0.8734693877551021
10,10,0.832,0.876
11,11,0.832,0.8784313725490196
12,12,0.833,0.8807692307692307
13,13,0.834,0.8830188679245283
14,14,0.835,0.8851851851851852
15,15,0.836,0.8872727272727273
16,16,0.833,0.8892857142857142
17,17,0.833,0.8912280701754386
18,18,0.834,0.8931034482758621
19,19,0.838,0.8949152542372881
20,20,0.842,0.8966666666666666
21,21,0.843,0.898360655737705
22,22,0.845,0.9
23,23,0.846,0.9015873015873016
24,24,0.845,0.903125
25,25,0.846,0.9046153846153846
26,26,0.846,0.906060606060606
27,27,0.846,0.9074626865671642
28,28,0.845,0.9088235294117647
29,29,0.846,0.9101449275362319
30,30,0.844,0.9114285714285715
31,31,0.843,0.9126760563380282
32,32,0.845,0.9083333333333333
33,33,0.845,0.9095890410958904
34,34,0.844,0.9108108108108108
35,35,0.844,0.912
36,36,0.846,0.9105263157894737
37,37,0.844,0.9090909090909091
38,38,0.844,0.9102564102564102
39,39,0.845,0.9113924050632911
40,40,0.842,0.9125
41,41,0.843,0.9135802469135802
42,42,0.844,0.9146341463414634
43,43,0.843,0.9132530120481928
44,44,0.844,0.9142857142857143
45,45,0.845,0.9152941176470588
46,46,0.846,0.9162790697674419
47,47,0.846,0.9149425287356322
48,48,0.845,0.9159090909090909
49,49,0.845,0.9168539325842696
50,50,0.845,0.9177777777777778
51,51,0.846,0.9186813186813186
52,52,0.848,0.9195652173913044
53,53,0.847,0.9204301075268817
54,54,0.848,0.9212765957446809
55,55,0.847,0.9221052631578948
56,56,0.847,0.9208333333333333
57,57,0.846,0.9216494845360824
58,58,0.846,0.9224489795918367
59,59,0.848,0.9232323232323232
60,60,0.847,0.924
