,time,r/c,accept_ratio
0,0,0.594,0.572
1,1,0.593,0.5803921568627451
2,2,0.591,0.5846153846153846
3,3,0.593,0.5886792452830188
4,4,0.591,0.5888888888888889
5,5,0.589,0.5963636363636363
6,6,0.589,0.6035714285714285
7,7,0.589,0.6105263157894737
8,8,0.591,0.6137931034482759
9,9,0.590,0.6169491525423729
10,10,0.592,0.6166666666666667
11,11,0.597,0.6229508196721312
12,12,0.595,0.6290322580645161
13,13,0.600,0.6349206349206349
14,14,0.601,0.640625
15,15,0.603,0.6461538461538462
16,16,0.602,0.6515151515151515
17,17,0.603,0.6507462686567164
18,18,0.603,0.6558823529411765
19,19,0.603,0.6608695652173913
20,20,0.604,0.6657142857142857
21,21,0.604,0.6704225352112676
22,22,0.605,0.6694444444444444
23,23,0.606,0.673972602739726
24,24,0.605,0.6783783783783783
25,25,0.606,0.6826666666666666
26,26,0.607,0.6815789473684211
27,27,0.608,0.6831168831168831
28,28,0.609,0.6846153846153846
29,29,0.612,0.6886075949367089
30,30,0.614,0.6925
31,31,0.617,0.6962962962962963
32,32,0.619,0.7
33,33,0.619,0.7012048192771084
34,34,0.620,0.7023809523809523
35,35,0.622,0.7058823529411765
36,36,0.623,0.7093023255813954
37,37,0.624,0.7103448275862069
38,38,0.624,0.7136363636363636
39,39,0.624,0.7146067415730337
40,40,0.626,0.7155555555555555
41,41,0.627,0.7186813186813187
42,42,0.628,0.717391304347826
43,43,0.628,0.7204301075268817
44,44,0.629,0.723404255319149
45,45,0.629,0.7242105263157895
46,46,0.630,0.725
47,47,0.629,0.7257731958762886
48,48,0.630,0.726530612244898
49,49,0.631,0.7252525252525253
50,50,0.632,0.728
